ID,PARENT_ID,URI,FILE_PATH,NAME,METHOD,STATUS,SIZE,TYPE,EXT,LAST_MODIFIED,EXTENSION_MISMATCH,MD5_HASH,FORMAT_COUNT,PUID,MIME_TYPE,FORMAT_NAME,FORMAT_VERSION
118,2,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/Request%20for%20Prelimiinary%20Jury%20Instructions.1.0.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/Request for Prelimiinary Jury Instructions.1.0.doc,Request for Prelimiinary Jury Instructions.1.0.doc,Container,Done,38400,File,doc,2008-03-05T15:12:14,FALSE,9c91ec56ee9ab1051fbd23776f040888,1,fmt/40,application/msword,Microsoft Word Document,97-2003
119,2,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/Rule%2020%20-jury%20selection.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/Rule 20 -jury selection.doc,Rule 20 -jury selection.doc,Container,Done,31744,File,doc,2008-04-29T06:10:32,FALSE,1d976a5cf4c66b6ccefad45a892f6b01,1,fmt/40,application/msword,Microsoft Word Document,97-2003
123,2,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/STATEMENT%20OF%20ISSUES.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/STATEMENT OF ISSUES.doc,STATEMENT OF ISSUES.doc,Container,Done,75776,File,doc,2010-03-08T14:40:20,FALSE,c8d70b2d9382f1c039237ea9efa96f4d,1,fmt/40,application/msword,Microsoft Word Document,97-2003
126,2,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/Testimony.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/Testimony.doc,Testimony.doc,Container,Done,24064,File,doc,2008-05-04T13:30:54,FALSE,e9e0d098873a69407c8dc4be571968a2,1,fmt/40,application/msword,Microsoft Word Document,97-2003
129,2,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/The%20Bill%20of%20Rights%20as%20a%20Constitution.txt,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/The Bill of Rights as a Constitution.txt,The Bill of Rights as a Constitution.txt,Extension,Done,50859,File,txt,2008-06-23T17:02:46,FALSE,473623a3697adb904bbf894723e1b16b,1,x-fmt/111,text/plain,Plain Text File,
11,2,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams.htm,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams.htm,adams.htm,Signature,Done,70717,File,htm,2007-11-25T12:07:44,FALSE,e3c4022fa029bafec35d391182e8c834,1,fmt/100,text/html,Hypertext Markup Language,4.01
3,2,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files,adams_files,,Done,,Folder,,2017-11-02T15:59:08,FALSE,,,,,,
4,3,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/%24I30,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/$I30,$I30,,Done,4096,File,,2007-11-25T12:07:44,FALSE,ad937b1d36156ab46750ce0f9edf51e2,0,,,,
5,3,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/books.jpg,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/books.jpg,books.jpg,Signature,Done,1193,File,jpg,2007-11-25T12:07:44,FALSE,eabee369b82c6d72d49971741da8ddec,1,fmt/43,image/jpeg,JPEG File Interchange Format,1.01
33,3,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/books.png,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/books.png,books.png,Signature,Done,20303,File,png,2007-11-25T12:07:44,FALSE,8de734b4eca33f790db39d38eb48181b,1,fmt/11,image/png,Portable Network Graphics,1
34,3,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/books_002.png,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/books_002.png,books_002.png,Signature,Done,53914,File,png,2007-11-25T12:07:44,FALSE,7a0603b7da51d4a1daafb4e86d6cbe95,1,fmt/11,image/png,Portable Network Graphics,1
7,3,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/books_003.png,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/books_003.png,books_003.png,Signature,Done,39525,File,png,2007-11-25T12:07:44,FALSE,e78bef46ce2ee0e71d4e932f25f7cd35,1,fmt/11,image/png,Portable Network Graphics,1
31,3,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/books_004.png,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/books_004.png,books_004.png,Signature,Done,55272,File,png,2007-11-25T12:07:44,FALSE,60f99b9030bac40067754eb287e1ce1e,1,fmt/11,image/png,Portable Network Graphics,1
32,3,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/books_005.png,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/books_005.png,books_005.png,Signature,Done,53011,File,png,2007-11-25T12:07:44,FALSE,6b6a74cb057f7532f5464554fdf5d76b,1,fmt/11,image/png,Portable Network Graphics,1
8,3,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/cleardot.gif,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/cleardot.gif,cleardot.gif,Signature,Done,43,File,gif,2007-11-25T12:07:44,FALSE,fc94fb0c3ed8a8f909dbc7630a0987ff,1,fmt/4,image/gif,Graphics Interchange Format,89a
9,3,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/fullscreen.gif,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/fullscreen.gif,fullscreen.gif,Signature,Done,97,File,gif,2007-11-25T12:07:44,FALSE,c64fd241e063dd65595e8c9c81ad10a5,1,fmt/4,image/gif,Graphics Interchange Format,89a
10,3,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/google_booksearch.gif,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/google_booksearch.gif,google_booksearch.gif,Signature,Done,1537,File,gif,2007-11-25T12:07:44,FALSE,d466b8159136eb758bf5ad55bf90086d,1,fmt/4,image/gif,Graphics Interchange Format,89a
12,3,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/hand.gif,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/hand.gif,hand.gif,Signature,Done,104,File,gif,2007-11-25T12:07:44,FALSE,38017ac536bf0ab49a56c9d78963aa28,1,fmt/4,image/gif,Graphics Interchange Format,89a
13,3,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/minus_sm.gif,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/minus_sm.gif,minus_sm.gif,Signature,Done,308,File,gif,2007-11-25T12:07:44,FALSE,df9a7fd7d1c3b3f0144150304c5c823c,1,fmt/4,image/gif,Graphics Interchange Format,89a
15,3,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/onepage.gif,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/onepage.gif,onepage.gif,Signature,Done,96,File,gif,2007-11-25T12:07:44,FALSE,f476809e6c3111de0c3380dee1c02d62,1,fmt/4,image/gif,Graphics Interchange Format,89a
14,3,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/page_nav_next.gif,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/page_nav_next.gif,page_nav_next.gif,Signature,Done,1089,File,gif,2007-11-25T12:07:44,FALSE,e3b584a9c5c60663f648394af629d10b,1,fmt/4,image/gif,Graphics Interchange Format,89a
17,3,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/page_nav_previous.gif,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/page_nav_previous.gif,page_nav_previous.gif,Signature,Done,1104,File,gif,2007-11-25T12:07:44,FALSE,e7bdce569df60544eabf76e032078ed2,1,fmt/4,image/gif,Graphics Interchange Format,89a
19,3,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/pdf_download_icon.gif,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/pdf_download_icon.gif,pdf_download_icon.gif,Signature,Done,103,File,gif,2007-11-25T12:07:44,FALSE,ae88847706901ebe711c39b8bb56624d,1,fmt/4,image/gif,Graphics Interchange Format,89a
16,3,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/plus_sm.gif,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/adams_files/plus_sm.gif,plus_sm.gif,Signature,Done,200,File,gif,2007-11-25T12:07:44,FALSE,621b0cadcc3562b5fcb7942394ec898c,1,fmt/4,image/gif,Graphics Interchange Format,89a
